id;adm_lb_nom;sup_id;emr_lb_systeme;emr_dt;sta_nm_dpt;code_insee;generation;date_maj;sta_nm_anfr;nat_id;sup_nm_haut;tpo_id;adr_lb_lieu;adr_lb_add1;adr_lb_add2;adr_lb_add3;adr_nm_cp;com_cd_insee;coordonnees;coord;statut
55915;BOUYGUES TELECOM;689185;5G NR 3500;15/02/2021;69;69382;5G;2025-10-02T15:15:22;692750493;38;31;9.0;;32 r thomassin;;;69002;69382;45.76166666666666 , 4.836111111111111;45°45'42''N 4°50'10''E;Techniquement opérationnel
242729;FREE MOBILE;585688;5G NR 700;21/10/2022;57;57499;5G;2025-10-02T15:15:22;570990276;4;31,1;17.0;;R  D'ALSACE;CH D'EAU;;57910;57499;49.077222222222225 , 7.081388888888888;49°4'38''N 7°4'53''E;Techniquement opérationnel
209423;DIGICEL;1861383;LTE 2100;29/01/2024;971;97120;4G;2025-10-02T15:15:22;9713370264;17;31;9.0;;35 rue Achille René Bois Neuf;;;97110;97120;16.236944444444447 , -61.53722222222222;16°14'13''N 61°32'14''W;En service
760739;SFR;1932808;UMTS 900;14/06/2018;44;44097;3G;2025-10-02T15:15:22;442700162;26;30;72.0;;RUE DES SPORTS;;;44420;44097;47.39694444444444 , -2.452777777777778;47°23'49''N 2°27'10''W;En service
650938;SFR;495360;UMTS 2100;09/01/2019;62;62714;3G;2025-10-02T15:15:22;622700443;23;47;30.0;Les Grands Fossés;A 26;ech thelus sortie 7;;62223;62714;50.345 , 2.7872222222222223;50°20'42''N 2°47'14''E;En service
674445;SFR;607146;5G NR 3500;28/04/2021;13;13213;5G;2025-10-02T15:15:22;132700235;38;40;28.0;;11/19 pl du gaillardet;Résidence les Balustres;;13013;13213;43.33861111111111 , 5.421388888888889;43°20'19''N 5°25'17''E;Techniquement opérationnel
710675;SFR;880299;5G NR 2100;26/01/2023;43;43020;5G;2025-10-02T15:15:22;432700152;23;22,5;65.0;LA CONCHE;;;;43210;43020;45.30222222222222 , 4.094166666666666;45°18'8''N 4°5'39''E;Techniquement opérationnel
557789;ORANGE;1884956;LTE 800;30/11/2017;971;97103;4G;2025-10-02T15:15:22;9712290306;17;3;21.0;Moudong;Rue Claude Emmanuel Blandin,;ZAC de Moudong Sud;;97122;97103;16.239444444444445 , -61.58388888888889;16°14'22''N 61°35'2''W;En service
303191;FREE MOBILE;1737132;5G NR 700;15/12/2020;62;62193;5G;2025-10-02T15:15:22;620990268;26;30;34.0;;Avenue Antoine Saint Exupéry.;Stade Julien Denis;;62100;62193;50.947222222222216 , 1.8816666666666666;50°56'50''N 1°52'54''E;Techniquement opérationnel
68871;BOUYGUES TELECOM;791339;UMTS 900;31/12/2016;94;94002;3G;2025-10-02T15:15:22;942750191;38;42;28.0;;1 ALL MODIGLIANI;;;94140;94002;48.794999999999995 , 2.428611111111111;48°47'42''N 2°25'43''E;En service
241945;FREE MOBILE;577294;LTE 700;27/12/2021;54;54578;4G;2025-10-02T15:15:22;540990418;26;24;74.0;;6 ALL Pelletier Doisy;;;54600;54578;48.6575 , 6.131666666666666;48°39'27''N 6°7'54''E;En service
334101;FREE MOBILE;2173014;LTE 2600;30/03/2020;78;78575;4G;2025-10-02T15:15:22;780990264;26;25;75.0;;CHEMIN DE CHEVINCOURT A AIGREFOIN;;;78470;78575;48.71388888888889 , 2.091111111111111;48°42'50''N 2°5'28''E;En service
642455;SFR;466279;LTE 2100;22/11/2024;61;61260;4G;2025-10-02T15:15:22;612700138;23;48;22.0;Signal de Charlemagne;D 266;;;61220;61260;48.64833333333333 , -0.43944444444444447;48°38'54''N 0°26'22''W;En service
97190;BOUYGUES TELECOM;1600122;UMTS 900;27/01/2016;02B;2B120;3G;2025-10-02T15:15:22;02B2750152;23;16;72.0;Fornagina;RN 193;Garage Formule 1;;20600;2B120;42.644444444444446 , 9.440277777777778;42°38'40''N 9°26'25''E;En service
775365;SFR;2415120;LTE 700;06/01/2023;43;43233;4G;2025-10-02T15:15:22;432700188;26;26;73.0;LE MARTOURET (Za);RUE DU MARTOURET;;;43320;43233;45.058055555555555 , 3.798888888888889;45°3'29''N 3°47'56''E;En service
720997;SFR;1475118;LTE 1800;14/12/2018;31;31263;4G;2025-10-02T15:15:22;312700274;23;30;72.0;Plaine de Cantau;;;;31870;31263;43.40416666666667 , 1.402222222222222;43°24'15''N 1°24'8''E;En service
433254;ORANGE;456385;LTE 2600;21/10/2021;36;36044;4G;2025-10-02T15:15:22;362290057;4;46;17.0;;40bis r des etats unis;;;36000;36044;46.81527777777777 , 1.6994444444444445;46°48'55''N 1°41'58''E;En service
802926;SFR;2906465;GSM 900;;57;57332;2G;2025-10-02T15:15:22;572700643;23;30;27.0;WITZ;Chemin rural;RUE DE MACHEREN;;57470;57332;49.12 , 6.778611111111111;49°7'12''N 6°46'43''E;Projet approuvé
243051;FREE MOBILE;588051;LTE 700;17/08/2020;64;64265;4G;2025-10-02T15:15:22;640990215;23;35;32.0;Othamonho;;;;64120;64265;43.16444444444444 , -1.0594444444444444;43°9'52''N 1°3'34''W;En service
630037;SFR;436512;LTE 700;20/08/2021;8;8362;4G;2025-10-02T15:15:22;82700001;24;79;32.0;la potence;CHEM RURAL DIT DE L'ALOUETTE;;;8300;8362;49.51444444444444 , 4.385833333333334;49°30'52''N 4°23'9''E;En service
